date,t,cp_location,cp_location_norm,cp_score
2013-07-19,912,894.944320517818,0.8121752134372368,0.9945473818590658
2013-07-22,913,892.0,1.0,0.998725067231159
2013-07-23,914,896.279298490379,0.8438429290295711,0.9080336145012513
2013-07-24,915,894.0000029185402,0.9999998610218958,0.9349366004069188
2013-07-25,916,909.964888636924,0.28738625538457135,0.8814331206917111
2013-07-26,917,909.9902050970718,0.33379975728229555,0.7886041084907905
2013-07-29,918,909.9245584062986,0.384544837795304,0.7759451349760803
2013-07-30,919,909.6599715698845,0.444763258576927,0.8360612443808373
2013-07-31,920,906.0234254388139,0.665551169580291,0.7518250683312533
2013-08-01,921,911.6005449948423,0.4475930954837016,0.7979116852739767
2013-08-02,922,906.9290604733167,0.7176637869849206,0.7443530533713301
2013-08-05,923,906.0068942516167,0.8091955118277762,0.8233553666982419
2013-08-06,924,906.9454390703941,0.8121219490288544,0.7999736245887165
2013-08-07,925,910.3325308251787,0.6984509130867309,0.8692522725473268
2013-08-08,926,909.6297544642898,0.7795355017004849,0.8547499646433419
2013-08-09,927,906.0005944837977,0.9999716912477273,0.9454277294773635
2013-08-12,928,920.0195159655374,0.38002304926012476,0.908456210486458
2013-08-13,929,920.0466143488086,0.42635169767578146,0.8616044302978663
2013-08-14,930,920.053891906408,0.4736241949329518,0.8812823407290462
2013-08-15,931,920.094031921851,0.5193318132451926,0.9808881266819471
2013-08-16,932,930.0210674625546,0.09423488273549603,0.9062459768554678
2013-08-19,933,930.0194851829806,0.14192927700092436,0.867333868899719
2013-08-20,934,930.0065811629188,0.1901628017657718,0.8699361115222664
2013-08-21,935,928.562188089957,0.3065624719068107,0.8182102050485848
2013-08-22,936,929.9936823071959,0.28601512822876884,0.8943005390427238
2013-08-23,937,929.9716611309683,0.3346828032872238,0.8650649570839474
2013-08-26,938,929.9649769097163,0.3826201471563688,0.8048280941740134
2013-08-27,939,928.8783557124734,0.48198306131078944,0.8774488832996251
2013-08-28,940,928.7526748824097,0.5355869103614439,0.8583749104022467
2013-08-29,941,928.402006464592,0.5999044540670487,0.8034942829090891
2013-08-30,942,934.9990031074547,0.3333808044069212,0.6188117669498577
2013-09-03,943,932.7334091228371,0.48888527986490055,0.7107753525953402
2013-09-04,944,932.0342225776516,0.5697989248737345,0.7681860445490335
2013-09-05,945,932.0180542438387,0.6181878931505371,0.715457627892037
2013-09-06,946,933.4872490098755,0.5958452852440219,0.6180301100580852
2013-09-09,947,933.4970522719552,0.6429975108592749,0.6434415813273218
2013-09-10,948,933.1237571408079,0.7083925171043846,0.6266200760928113
2013-09-11,949,933.5203065721935,0.7371282584669773,0.6111072373330353
2013-09-12,950,940.80095879365,0.4380495812547614,0.9009553049018286
2013-09-13,951,939.0680617405071,0.5681875361663277,0.938428816113507
2013-09-16,952,939.9015070463399,0.576118712079051,0.971208989858548
2013-09-17,953,939.9111313513338,0.6232794594602963,0.9720012041181276
2013-09-18,954,939.9106517312337,0.6709213461317306,0.963835009878798
2013-09-19,955,939.9633206956023,0.7160323478284616,0.9448581813338459
2013-09-20,956,939.9268026536553,0.7653903498259395,0.8953078616032175
2013-09-23,957,939.4884724119103,0.8338822660995111,0.9462953207824725
2013-09-24,958,939.5727164132801,0.8774896946057099,0.9288062943942226
2013-09-25,959,939.7950612715899,0.9145208918290509,0.9530587871779711
2013-09-26,960,939.8326429887799,0.9603503338676254,0.9791600444451988
2013-09-27,961,953.0633936646324,0.3779336350175061,0.8575387866464625
2013-09-30,962,951.5499347486889,0.49762215482433886,0.7264388962806343
2013-10-01,963,951.854216020246,0.5307516180835246,0.7614392470910442
2013-10-02,964,951.950436393869,0.5737887431490933,0.7774922065962433
2013-10-03,965,951.4684662437548,0.6443587502973882,0.7290781995500716
2013-10-04,966,953.1002703212797,0.6142728418438234,0.8720881900603147
2013-10-07,967,959.3200172694192,0.36571346336099203,0.9141375358511399
2013-10-08,968,959.5731341886483,0.4012793243500818,0.9178173501282944
2013-10-09,969,959.1980422122397,0.4667598946552538,0.88131497439513
2013-10-10,970,965.2868298703621,0.22443667283989943,0.967338938480984
2013-10-11,971,962.9628382726781,0.3827219870153266,0.9314358133996452
2013-10-14,972,961.5228342988003,0.49891265243808275,0.8833391429991315
2013-10-15,973,961.217251923914,0.561083241718382,0.8593697354213359
2013-10-16,974,961.8074863089846,0.580595890048352,0.8926085528944832
2013-10-17,975,960.7539927389121,0.6783812981470441,0.8328221178562095
2013-10-18,976,962.7369171968278,0.6315753715796291,0.8861278768932417
2013-10-21,977,960.1075484409894,0.8044024551909821,0.8687506674237422
2013-10-22,978,960.4162494062867,0.8373214568434887,0.9508054726182876
2013-10-23,979,959.9993605920741,0.9047923527583743,0.9466692737761906
2013-10-24,980,960.6704138000187,0.9204564857133976,0.7250239091311489
2013-10-25,981,974.9590784780128,0.2876629296184395,0.9134210808257883
2013-10-28,982,975.7628007101657,0.2970094899921086,0.9606263196835756
2013-10-29,983,974.9444800098493,0.3835961900071782,0.9797255042994595
2013-10-30,984,974.9920630323007,0.42894937941425076,0.9681057065094119
2013-10-31,985,974.9917410024246,0.47658376178930256,0.9749419789798678
2013-11-01,986,974.9788164255152,0.5248182654516562,0.9893082515661505
2013-11-04,987,974.9856884588196,0.5721100733895431,0.992111495589951
2013-11-05,988,974.9838163649059,0.6198182683378134,0.9944981511583922
2013-11-06,989,974.8572093908377,0.6734662194839173,0.9931961700640792
2013-11-07,990,974.9709021140876,0.7156713279005901,0.8726120084598319
2013-11-08,991,970.0,1.0,0.8372312258154788
2013-11-11,992,989.0207246582887,0.1418702543672041,0.894053758714383
2013-11-12,993,989.0185537314851,0.18959267945309052,0.8362974327697098
2013-11-13,994,989.0175876642024,0.23725773027607439,0.800946492086374
2013-11-14,995,989.0155488789741,0.2849738629059965,0.8224598847045016
2013-11-15,996,988.1621927162022,0.37322891827608645,0.8768051726018506
2013-11-18,997,989.3092530288055,0.3662260462473558,0.9021441876715681
2013-11-19,998,989.0905938295575,0.42425743668773713,0.8961886710595545
2013-11-20,999,989.0828891696158,0.47224337287543894,0.843966336227091
2013-11-21,1000,989.0974586444765,0.5191686359773073,0.8531855543860807
2013-11-22,1001,994.985735775216,0.28639353451352517,0.6130508821764913
2013-11-25,1002,994.9749468062482,0.3345263425596083,0.6636076240128137
2013-11-26,1003,994.9683853952193,0.38245783832288843,0.7324221943811791
2013-11-27,1004,1001.5901320540291,0.11475561647480281,0.9500134207039536
2013-11-29,1005,1001.5030432825433,0.16652174845031759,0.9745396184348354
2013-12-02,1006,1001.0263585139716,0.2368400707632591,0.9400693593225615
2013-12-03,1007,994.9988330669242,0.5714841396702739,0.8788481725370975
2013-12-04,1008,994.3171993727593,0.6515619346305086,0.9355298620111322
2013-12-05,1009,994.0767812277522,0.7106294653451316,0.9532164350679861
2013-12-06,1010,991.9691574047894,0.8586115521528871,0.9543986676321701
2013-12-09,1011,991.1990130044852,0.9429041426435615,0.9771851586748257
2013-12-10,1012,1003.068127483824,0.42532726267504695,0.7464019162625795
2013-12-11,1013,1008.7237264014631,0.20363207612080628,0.9358489416401673
2013-12-12,1014,1008.4423521861758,0.2646498958963927,0.87425991021949
2013-12-13,1015,1008.2747094266695,0.32025193206335906,0.8608410467070521
2013-12-16,1016,1008.3187178894631,0.3657753385969965,0.8884458739157116
2013-12-17,1017,1008.3801844341139,0.4104674078993401,0.8624545463610016
2013-12-18,1018,1008.7572625799319,0.44013035333657735,0.983640916988086
2013-12-19,1019,1008.9985449116958,0.47625976610972237,0.9553419840247819
2013-12-20,1020,1008.9881795544852,0.5243724021673708,0.9214278430025401
2013-12-23,1021,1008.9571496015286,0.5734690665938755,0.8951787448531376
2013-12-24,1022,1006.5538849975096,0.7355292858328756,0.9632076881833793
2013-12-26,1023,1006.4294114153582,0.7890756468877033,0.9856186973457517
2013-12-27,1024,1017.3298279548901,0.3176272402433283,0.5726188876101805
2013-12-30,1025,1016.9966206814341,0.3811133008840887,0.603046245172089
2013-12-31,1026,1013.6388312763364,0.5886270820792182,0.523168023693338
2014-01-02,1027,1017.3022449452428,0.46179785975034193,0.5334161955174187
2014-01-03,1028,1013.6814039736144,0.6818379060183642,0.531289310744528
2014-01-06,1029,1018.9819819072768,0.47704848060586647,0.8888513207598511
2014-01-07,1030,1018.9867945752582,0.5244383535591353,0.9012970351649805
2014-01-08,1031,1018.9898584649443,0.5719115016693195,0.9339620580202007
2014-01-09,1032,1018.7270807934485,0.6320437717405466,0.9320000729275615
2014-01-10,1033,1018.981868865721,0.6675300540132845,0.9654789363350021
2014-01-13,1034,1018.9767621929271,0.7153922765272791,0.8492058171936662
2014-01-14,1035,1033.0220759148806,0.09418686119616246,0.9041902125422407
2014-01-15,1036,1033.0157974214762,0.1421048846916078,0.8591518127091833
2014-01-16,1037,1021.9483119870217,0.7167470482370607,0.7530216832259438
2014-01-17,1038,1033.0068655761581,0.23776830589723172,0.7441764888729899
2014-01-21,1039,1033.016856921711,0.28491157515661925,0.69650610852849
2014-01-22,1040,1033.3177969216943,0.31820014658598794,0.8857605323371183
2014-01-23,1041,1033.2767620432626,0.3677732360351153,0.8816282377535132
2014-01-24,1042,1033.4792427507882,0.40575034520056114,0.9679578642942653
2014-01-27,1043,1033.5001483437243,0.45237388839408205,0.9497570459874416
2014-01-28,1044,1033.5210650358797,0.49899690305334754,0.9393052635137943
